Time-Year,Time-Date,Ticker,AAPL,CDW,CTRX,FB,GOOG,GOOGL,INTC,MSFT,MU,QCOM,STX,TECD,TXN,WDC
2013,2013-03-28,,70.89,,135.45,66.91,,125.60,80.74,93.48,131.49,101.24,148.25,85.34,112.11,128.86
2013,2013-04-01,,68.68,,136.09,66.78,,126.71,79.21,93.48,123.58,99.83,148.89,84.72,110.62,129.14
2013,2013-04-02,,68.82,,138.90,66.49,,128.58,79.33,94.10,122.53,100.20,147.14,84.29,109.86,128.31
2013,2013-04-03,,69.17,,135.79,68.66,,127.50,77.80,93.34,119.89,99.78,146.24,84.48,107.90,129.64
2013,2013-04-04,,68.49,,135.99,70.81,,125.74,78.15,93.45,122.66,99.53,147.35,84.76,108.96,130.12
2013,2013-04-05,,67.77,,134.99,71.65,,123.84,77.40,93.79,122.66,98.56,144.02,84.16,108.07,127.60
2013,2013-04-08,,68.25,,135.96,70.23,,122.54,77.95,93.41,123.72,99.61,145.90,84.56,110.82,128.70
2013,2013-04-09,,68.38,,137.19,69.55,,122.98,80.38,96.78,126.09,99.76,149.87,84.67,111.09,132.14
2013,2013-04-10,,69.77,,139.97,72.12,,124.97,82.27,98.94,132.94,101.77,152.78,85.75,112.98,136.33
2013,2013-04-11,,69.54,,142.96,73.29,,125.00,80.70,94.58,131.49,101.38,148.12,84.71,112.78,134.23
2013,2013-04-12,,68.82,,139.05,71.67,,124.94,80.11,94.07,131.88,100.85,146.37,83.99,113.28,134.05
2013,2013-04-15,,67.23,,137.14,69.37,,123.66,79.01,93.76,125.96,99.04,141.11,81.56,111.45,131.09
2013,2013-04-16,,68.25,,139.16,70.42,,125.47,81.01,94.68,130.04,99.53,143.29,82.09,112.91,133.32
2013,2013-04-17,,64.50,,138.08,69.66,,123.76,81.05,94.20,123.72,97.14,140.81,81.45,108.10,129.56
2013,2013-04-18,,62.78,,138.75,67.20,,121.13,82.19,94.07,121.61,96.25,137.61,81.39,107.17,126.18
2013,2013-04-19,,62.53,,140.74,67.30,,126.50,82.93,97.29,123.19,96.69,139.66,81.92,108.23,127.94
2013,2013-04-22,,63.84,,137.14,67.93,,126.54,84.58,100.75,122.66,97.68,141.15,83.15,109.99,129.43
2013,2013-04-23,,65.03,,139.00,67.96,,127.76,86.43,100.00,124.11,98.84,146.11,84.24,112.81,136.41
2013,2013-04-24,,64.92,,141.25,68.30,,128.64,87.45,103.77,124.11,99.83,147.86,85.06,113.77,135.55
2013,2013-04-25,,65.39,,146.00,68.38,,127.95,86.43,104.39,125.56,94.43,148.16,85.62,114.11,134.78
2013,2013-04-26,,66.80,,144.70,70.23,,126.74,86.50,103.88,124.24,93.05,147.61,84.14,113.81,136.54
2013,2013-04-29,,68.88,,144.60,70.57,,129.53,87.80,106.55,123.19,93.17,146.88,85.68,114.54,138.67
2013,2013-04-30,,70.90,,147.46,72.64,,130.40,88.51,108.16,124.11,93.16,148.80,87.48,115.30,141.63
2013,2013-05-01,,70.35,,145.62,71.75,,129.75,88.66,106.93,121.21,93.65,149.79,85.81,115.93,140.42
2013,2013-05-02,,71.34,,135.33,75.78,,131.20,89.09,108.37,122.79,95.12,160.68,85.92,116.86,145.17
2013,2013-05-03,,72.05,,133.84,74.05,,133.75,89.41,109.43,126.88,96.45,167.18,88.23,117.86,146.43
2013,2013-05-06,,73.78,,134.33,72.12,,136.25,89.21,110.29,128.59,96.58,170.21,88.58,117.96,148.95
